src_bytes,class
491,normal
146,normal
0,anomaly
232,normal
199,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
287,normal
334,anomaly
0,anomaly
0,anomaly
300,normal
18,anomaly
233,normal
343,normal
0,anomaly
0,anomaly
253,normal
147,normal
0,anomaly
437,normal
0,anomaly
227,normal
215,normal
241,normal
8,anomaly
0,anomaly
303,normal
0,anomaly
45,normal
105,normal
43,normal
0,anomaly
324,normal
0,anomaly
0,anomaly
0,anomaly
1591,normal
146,normal
290,normal
0,anomaly
28,anomaly
255,normal
334,anomaly
0,anomaly
302,normal
0,anomaly
28,anomaly
220,normal
43,normal
44,normal
8,anomaly
0,anomaly
0,anomaly
43,normal
641,normal
0,anomaly
0,anomaly
310,normal
0,anomaly
696,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
221,normal
0,anomaly
181,normal
42,normal
0,anomaly
12,normal
0,anomaly
210,normal
321,normal
0,anomaly
329,normal
0,anomaly
0,anomaly
8,anomaly
320,normal
0,anomaly
225,normal
0,anomaly
0,anomaly
146,normal
247,normal
353,normal
44,normal
0,anomaly
0,anomaly
3065,normal
102,normal
259,normal
147,normal
0,anomaly
0,normal
309,normal
0,normal
278,normal
28,anomaly
313,normal
219,normal
245,normal
328,normal
0,normal
251,normal
2089,normal
0,normal
237,normal
324,normal
1,anomaly
0,anomaly
105,normal
218,normal
325,normal
0,anomaly
0,anomaly
0,anomaly
328,normal
0,anomaly
9,normal
46,normal
1079,normal
45,normal
273,normal
0,anomaly
0,anomaly
237,normal
225,normal
0,anomaly
0,anomaly
147,normal
262,normal
1032,anomaly
0,anomaly
261,normal
0,anomaly
0,anomaly
294,normal
221,normal
284,normal
0,anomaly
309,normal
334,anomaly
0,anomaly
0,anomaly
214,normal
0,anomaly
0,anomaly
0,anomaly
46,normal
748,normal
0,anomaly
8,anomaly
0,anomaly
329,normal
9,normal
46,normal
1766,normal
0,anomaly
1,anomaly
8,normal
266,normal
245,normal
295,normal
0,anomaly
228,normal
1032,anomaly
0,anomaly
0,anomaly
0,anomaly
0,normal
0,anomaly
1,anomaly
0,anomaly
30,normal
2078,normal
19,normal
661,normal
28,anomaly
0,anomaly
0,anomaly
0,anomaly
1075,normal
223,normal
350,anomaly
233,normal
0,anomaly
0,anomaly
201,normal
271,normal
14416,normal
227,normal
0,anomaly
225,normal
176,normal
0,anomaly
227,normal
855,normal
944,normal
954,normal
0,anomaly
166,normal
306,normal
0,anomaly
0,anomaly
1480,anomaly
0,anomaly
313,normal
0,anomaly
0,anomaly
285,normal
226,normal
256,normal
3740,normal
224,normal
0,anomaly
832,anomaly
0,anomaly
8,anomaly
201,normal
285,normal
0,anomaly
7422,normal
198,normal
2310,normal
331,normal
65,normal
28,anomaly
45,normal
0,anomaly
0,anomaly
0,anomaly
9,normal
283,normal
221,normal
18,anomaly
0,anomaly
0,anomaly
0,anomaly
302,normal
0,anomaly
8,anomaly
0,anomaly
355,normal
8,anomaly
106,normal
286,normal
1,anomaly
0,anomaly
1032,anomaly
168,normal
238,normal
0,anomaly
291,normal
0,anomaly
749,normal
198,normal
0,anomaly
167,normal
241,normal
337,normal
729,normal
8,anomaly
0,anomaly
222,normal
0,anomaly
0,normal
46,normal
246,normal
222,normal
0,anomaly
0,anomaly
279,normal
226,normal
299,normal
0,anomaly
