src_bytes,dst_bytes,class
491,0,normal
146,0,normal
0,0,anomaly
232,8153,normal
199,420,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
287,2251,normal
334,0,anomaly
0,0,anomaly
0,0,anomaly
300,13788,normal
18,0,anomaly
233,616,normal
343,1178,normal
0,0,anomaly
0,0,anomaly
253,11905,normal
147,105,normal
0,0,anomaly
437,14421,normal
0,0,anomaly
227,6588,normal
215,10499,normal
241,1400,normal
8,0,anomaly
0,0,anomaly
303,555,normal
0,0,anomaly
45,45,normal
105,147,normal
43,43,normal
0,0,anomaly
324,2302,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
1591,372,normal
146,105,normal
290,3006,normal
0,0,anomaly
28,0,anomaly
255,861,normal
334,0,anomaly
0,0,anomaly
302,498,normal
0,0,anomaly
28,0,anomaly
220,1398,normal
43,69,normal
44,133,normal
8,0,anomaly
0,0,anomaly
0,0,anomaly
43,43,normal
641,0,normal
0,0,anomaly
0,0,anomaly
310,2794,normal
0,0,anomaly
696,333,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
221,2878,normal
0,0,anomaly
181,0,normal
42,42,normal
0,0,anomaly
12,0,normal
0,0,anomaly
210,2790,normal
321,5683,normal
0,0,anomaly
329,3982,normal
0,0,anomaly
0,0,anomaly
8,0,anomaly
320,379,normal
0,0,anomaly
225,3762,normal
0,0,anomaly
0,0,anomaly
146,105,normal
247,1416,normal
353,1483,normal
44,44,normal
0,0,anomaly
0,0,anomaly
3065,331,normal
102,102,normal
259,750,normal
147,105,normal
0,0,anomaly
0,354,normal
309,306,normal
0,0,normal
278,7227,normal
28,0,anomaly
313,761,normal
219,1212,normal
245,9165,normal
328,2243,normal
0,0,normal
251,301,normal
2089,335,normal
0,0,normal
237,511,normal
324,431,normal
1,0,anomaly
0,0,anomaly
105,145,normal
218,974,normal
325,2649,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
328,275,normal
0,0,anomaly
9,138,normal
46,46,normal
1079,334,normal
45,139,normal
273,903,normal
0,0,anomaly
0,0,anomaly
237,138,normal
225,1357,normal
0,0,anomaly
0,0,anomaly
147,0,normal
262,1011,normal
1032,0,anomaly
0,0,anomaly
261,8412,normal
0,0,anomaly
0,0,anomaly
294,1719,normal
221,981,normal
284,10352,normal
0,0,anomaly
309,16096,normal
334,0,anomaly
0,0,anomaly
0,0,anomaly
214,283,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
46,78,normal
748,0,normal
0,0,anomaly
8,0,anomaly
0,0,anomaly
329,8437,normal
9,0,normal
46,128,normal
1766,0,normal
0,0,anomaly
1,0,anomaly
8,135,normal
266,529,normal
245,0,normal
295,465,normal
0,0,anomaly
228,6834,normal
1032,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,normal
0,0,anomaly
1,0,anomaly
0,0,anomaly
30,0,normal
2078,333,normal
19,0,normal
661,329,normal
28,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
1075,364,normal
223,656,normal
350,1185,anomaly
233,2470,normal
0,0,anomaly
0,0,anomaly
201,1938,normal
271,4781,normal
14416,0,normal
227,11564,normal
0,0,anomaly
225,2445,normal
176,426,normal
0,0,anomaly
227,762,normal
855,575,normal
944,330,normal
954,326,normal
0,0,anomaly
166,34660,normal
306,2698,normal
0,0,anomaly
0,0,anomaly
1480,0,anomaly
0,0,anomaly
313,8549,normal
0,0,anomaly
0,0,anomaly
285,6008,normal
226,1411,normal
256,12984,normal
3740,449,normal
224,449,normal
0,0,anomaly
832,0,anomaly
0,0,anomaly
8,0,anomaly
201,169,normal
285,304,normal
0,0,anomaly
7422,0,normal
198,12884,normal
2310,328,normal
331,955,normal
65,0,normal
28,0,anomaly
45,77,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
9,142,normal
283,912,normal
221,1789,normal
18,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
302,1380,normal
0,0,anomaly
8,0,anomaly
0,0,anomaly
355,870,normal
8,0,anomaly
106,1468,normal
286,1423,normal
1,0,anomaly
0,0,anomaly
1032,0,anomaly
168,9551,normal
238,864,normal
0,0,anomaly
291,10369,normal
0,0,anomaly
749,330,normal
198,6924,normal
0,0,anomaly
167,709,normal
241,851,normal
337,3360,normal
729,328,normal
8,0,anomaly
0,0,anomaly
222,1483,normal
0,0,anomaly
0,0,normal
46,134,normal
246,2719,normal
222,771,normal
0,0,anomaly
0,0,anomaly
279,9598,normal
226,651,normal
299,447,normal
0,0,anomaly
12,0,normal
281,1951,normal
0,0,anomaly
42,42,normal
0,0,anomaly
0,0,anomaly
263,453,normal
1,0,anomaly
0,0,normal
0,0,anomaly
0,0,anomaly
283,1980,normal
161,5530,normal
211,321,normal
201,1701,normal
8,0,anomaly
147,0,normal
0,0,anomaly
567,0,normal
0,0,anomaly
0,0,anomaly
5131424,0,anomaly
320,420,normal
8,0,anomaly
0,0,normal
204,1229,normal
0,0,anomaly
10389,0,normal
0,0,anomaly
344,573,normal
0,0,anomaly
0,0,anomaly
243,821,normal
1032,0,anomaly
8,0,anomaly
0,0,anomaly
105,146,normal
0,0,anomaly
1080,327,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
657,326,normal
0,0,anomaly
284,765,normal
261,15455,normal
317,315,normal
33,0,normal
0,0,anomaly
0,0,anomaly
44,70,normal
215,584,normal
0,0,anomaly
332,2844,normal
978,334,normal
296,5670,normal
0,0,anomaly
0,0,anomaly
214,9986,normal
0,0,anomaly
48,48,normal
226,1301,normal
0,0,anomaly
78,0,normal
0,0,anomaly
0,0,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
294,3327,normal
0,0,anomaly
220,1249,normal
0,0,anomaly
196,3282,normal
0,0,anomaly
327,4482,normal
0,0,anomaly
319,0,normal
1087,302,normal
210,3754,normal
0,0,anomaly
0,0,normal
234,6282,normal
8,0,anomaly
54540,8314,anomaly
237,1461,normal
0,0,anomaly
0,0,anomaly
200,955,normal
219,657,normal
284,5921,normal
0,0,anomaly
325,426,normal
0,0,anomaly
30,0,normal
335,7902,normal
36,0,normal
0,0,anomaly
43,43,normal
0,0,anomaly
0,0,normal
0,0,anomaly
0,0,anomaly
216,1956,normal
0,0,anomaly
44,78,normal
347,8113,normal
570,280,normal
219,17540,normal
146,0,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
1,0,anomaly
0,0,anomaly
18,0,anomaly
0,4,normal
233,581,normal
0,0,anomaly
276,0,normal
44,139,normal
8,0,anomaly
1828,148722,normal
200,764,normal
46,46,normal
0,0,anomaly
0,0,anomaly
216,5284,normal
0,0,anomaly
234,997,normal
220,1643,normal
0,0,anomaly
105,146,normal
0,0,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
288,2881,normal
0,0,anomaly
0,0,anomaly
1,0,anomaly
28,0,anomaly
279,494,normal
1032,0,anomaly
192,0,normal
105,1401,normal
0,0,anomaly
1330,282,normal
520,0,anomaly
0,0,anomaly
230,362,normal
44,110,normal
271,3582,normal
179,1668,normal
852,0,normal
222,310,normal
314,4137,normal
0,0,anomaly
230,6880,normal
0,0,anomaly
0,0,anomaly
857,327,normal
234,1707,normal
1032,0,anomaly
28,0,anomaly
0,0,anomaly
215,6367,normal
46,46,normal
105,146,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
305,2507,normal
0,0,anomaly
336,15767,normal
0,0,anomaly
0,0,anomaly
147,105,normal
335,1212,normal
0,0,anomaly
339,241,normal
317,3245,normal
0,0,anomaly
54540,8314,anomaly
0,0,anomaly
42,131,normal
986,368,normal
0,0,anomaly
183,0,normal
0,0,anomaly
405,23786,normal
0,0,anomaly
785,327,normal
258,4302,normal
0,0,anomaly
8,0,anomaly
318,2649,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
216,1240,normal
0,0,anomaly
291,320,normal
224,546,normal
0,0,anomaly
0,0,anomaly
17,42,normal
0,0,anomaly
29,29,normal
105,147,normal
30,0,normal
325,12884,normal
0,0,anomaly
0,0,normal
12,0,normal
212,828,normal
240,1475,normal
292,13206,normal
172,12793,normal
0,0,anomaly
310,788,normal
44,128,normal
145,0,normal
1238,2451,anomaly
8,0,anomaly
45,45,normal
0,0,anomaly
1551,362,normal
1308,328,normal
356,1125,normal
364,6914,normal
331,776,normal
30,0,normal
0,0,anomaly
0,0,anomaly
247,7546,normal
300,1841,normal
0,0,anomaly
355,2109,normal
0,0,anomaly
316,1260,normal
44,136,normal
1458,4152,normal
0,0,anomaly
146,105,normal
0,0,anomaly
0,0,anomaly
1,0,anomaly
0,0,anomaly
0,0,anomaly
146,105,normal
0,0,anomaly
13794,2966,normal
0,0,anomaly
911,325,normal
0,0,anomaly
280,3332,normal
0,0,anomaly
0,0,anomaly
41,41,normal
10,139,normal
311,488,normal
281,1745,normal
297,1285,normal
0,0,anomaly
43,72,normal
0,0,anomaly
334,0,anomaly
8,0,anomaly
215,9399,normal
0,0,anomaly
0,0,normal
516,4,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
44,44,normal
0,0,anomaly
676,328,normal
334,455,normal
0,0,anomaly
0,0,anomaly
204,1596,normal
520,0,anomaly
0,0,anomaly
192,301,normal
18,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
256,4486,normal
64,0,normal
46,136,normal
0,0,anomaly
220,253,normal
41,117,normal
248,2313,normal
1250,2451,anomaly
0,0,anomaly
44,70,normal
209,1824,normal
5891,0,normal
8,0,anomaly
276,1767,normal
231,2304,normal
0,0,anomaly
312,422,normal
1,0,anomaly
0,0,anomaly
29,0,normal
13239,0,normal
0,0,anomaly
8,223,normal
0,0,anomaly
44,79,normal
0,0,anomaly
0,0,anomaly
324,10647,normal
0,0,anomaly
18,0,anomaly
355,657,normal
1,0,anomaly
0,0,anomaly
54540,8314,anomaly
205,253,normal
0,0,anomaly
325,753,normal
0,0,anomaly
232,193,normal
886,326,normal
319,3432,normal
0,0,anomaly
0,0,anomaly
147,12141,normal
1451,330,normal
54540,8314,anomaly
235,1889,normal
0,0,anomaly
0,0,anomaly
299,1540,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
237,241,normal
0,0,anomaly
146,105,normal
0,0,anomaly
146,105,normal
202,1923,normal
0,0,anomaly
383,0,normal
345,2254,normal
278,6546,normal
0,0,anomaly
196,16143,normal
0,0,anomaly
277,2253,normal
203,578,normal
0,0,anomaly
147,105,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
367,5199,normal
0,0,anomaly
257,23051,normal
8,0,anomaly
44,44,normal
128,44,normal
254,523,normal
225,22996,normal
775,331,normal
314,266,normal
0,0,anomaly
525,335,normal
0,0,anomaly
1,0,anomaly
213,37327,normal
190,8654,normal
0,0,anomaly
28,0,anomaly
0,0,anomaly
1067,3081,normal
126,44,normal
333,2547,normal
0,0,anomaly
4491,0,normal
0,0,anomaly
54540,8314,anomaly
239,255,normal
0,0,normal
1258,359,normal
0,0,anomaly
0,0,anomaly
0,0,normal
42,65,normal
224,1270,normal
231,3215,normal
147,105,normal
44,72,normal
183,0,normal
0,0,anomaly
0,0,anomaly
125,179,anomaly
13,40,normal
233,4759,normal
30,0,normal
0,0,anomaly
278,7958,normal
0,0,anomaly
0,0,anomaly
237,5193,normal
301,2698,normal
246,3295,normal
230,12471,normal
46,82,normal
147,105,normal
0,0,anomaly
641,0,normal
28,0,anomaly
0,0,anomaly
82,1,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
46,80,normal
0,0,anomaly
0,0,anomaly
376,345,normal
0,0,anomaly
105,146,normal
334,0,anomaly
0,0,anomaly
30,0,normal
1053,329,normal
46,130,normal
45,119,normal
1539,395,normal
0,0,anomaly
0,0,anomaly
358,1758,normal
44,133,normal
282,1227,normal
323,1509,normal
105,105,normal
218,358,normal
0,0,anomaly
0,0,anomaly
329,303,normal
788,328,normal
311,4591,normal
0,0,anomaly
0,0,anomaly
35,130,normal
1032,0,anomaly
0,0,anomaly
0,0,anomaly
59,0,normal
0,0,anomaly
226,1022,normal
203,2108,normal
2544,333,normal
1032,0,anomaly
327,6721,normal
0,0,anomaly
0,0,anomaly
0,0,normal
0,0,anomaly
0,0,anomaly
54540,8314,anomaly
0,0,anomaly
0,0,anomaly
28,0,anomaly
8,0,anomaly
0,0,anomaly
0,0,anomaly
763,335,normal
0,0,anomaly
307,8339,normal
0,0,anomaly
0,0,anomaly
236,7262,normal
246,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
300,13038,normal
254,390,normal
147,105,normal
0,0,anomaly
1,0,anomaly
334,0,anomaly
0,0,anomaly
1221,3380,normal
0,0,anomaly
8,0,anomaly
299,291,normal
1874,0,normal
1301,335,normal
1,0,anomaly
43,132,normal
1032,0,anomaly
0,0,anomaly
330,256,normal
0,0,anomaly
302,7497,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
284,307,normal
0,0,anomaly
12,0,normal
238,276,normal
1194,482,normal
6601,0,normal
12,0,normal
1452,330,normal
2194619,0,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
240,748,normal
0,0,anomaly
42,42,normal
0,0,anomaly
336,1294,normal
11436,1383,normal
0,0,anomaly
195,4768,normal
516,4,normal
286,3491,normal
0,0,anomaly
215,1062,normal
196,1337,normal
722,334,normal
0,0,anomaly
0,0,anomaly
214,3477,normal
0,0,anomaly
232,2140,normal
224,1783,normal
8,0,anomaly
192,0,normal
294,478,normal
0,0,anomaly
213,259,normal
0,0,anomaly
105,146,normal
0,0,anomaly
303,458,normal
0,0,anomaly
44,126,normal
73,45,normal
197,2276,normal
0,0,anomaly
242,6725,normal
0,0,anomaly
308,607,normal
0,0,anomaly
0,0,anomaly
291,868,normal
