dst_bytes,class
0,normal
0,normal
0,anomaly
8153,normal
420,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
2251,normal
0,anomaly
0,anomaly
0,anomaly
13788,normal
0,anomaly
616,normal
1178,normal
0,anomaly
0,anomaly
11905,normal
105,normal
0,anomaly
14421,normal
0,anomaly
6588,normal
10499,normal
1400,normal
0,anomaly
0,anomaly
555,normal
0,anomaly
45,normal
147,normal
43,normal
0,anomaly
2302,normal
0,anomaly
0,anomaly
0,anomaly
372,normal
105,normal
3006,normal
0,anomaly
0,anomaly
861,normal
0,anomaly
0,anomaly
498,normal
0,anomaly
0,anomaly
1398,normal
69,normal
133,normal
0,anomaly
0,anomaly
0,anomaly
43,normal
0,normal
0,anomaly
0,anomaly
2794,normal
0,anomaly
333,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
2878,normal
0,anomaly
0,normal
42,normal
0,anomaly
0,normal
0,anomaly
2790,normal
5683,normal
0,anomaly
3982,normal
0,anomaly
0,anomaly
0,anomaly
379,normal
0,anomaly
3762,normal
0,anomaly
0,anomaly
105,normal
1416,normal
1483,normal
44,normal
0,anomaly
0,anomaly
331,normal
102,normal
750,normal
105,normal
0,anomaly
354,normal
306,normal
0,normal
7227,normal
0,anomaly
761,normal
1212,normal
9165,normal
2243,normal
0,normal
301,normal
335,normal
0,normal
511,normal
431,normal
0,anomaly
0,anomaly
145,normal
974,normal
2649,normal
0,anomaly
0,anomaly
0,anomaly
275,normal
0,anomaly
138,normal
46,normal
334,normal
139,normal
903,normal
0,anomaly
0,anomaly
138,normal
1357,normal
0,anomaly
0,anomaly
0,normal
1011,normal
0,anomaly
0,anomaly
8412,normal
0,anomaly
0,anomaly
1719,normal
981,normal
10352,normal
0,anomaly
16096,normal
0,anomaly
0,anomaly
0,anomaly
283,normal
0,anomaly
0,anomaly
0,anomaly
78,normal
0,normal
0,anomaly
0,anomaly
0,anomaly
8437,normal
0,normal
128,normal
0,normal
0,anomaly
0,anomaly
135,normal
529,normal
0,normal
465,normal
0,anomaly
6834,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,normal
0,anomaly
0,anomaly
0,anomaly
0,normal
333,normal
0,normal
329,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
364,normal
656,normal
1185,anomaly
2470,normal
0,anomaly
0,anomaly
1938,normal
4781,normal
0,normal
11564,normal
0,anomaly
2445,normal
426,normal
0,anomaly
762,normal
575,normal
330,normal
326,normal
0,anomaly
34660,normal
2698,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
8549,normal
0,anomaly
0,anomaly
6008,normal
1411,normal
12984,normal
449,normal
449,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
169,normal
304,normal
0,anomaly
0,normal
12884,normal
328,normal
955,normal
0,normal
0,anomaly
77,normal
0,anomaly
0,anomaly
0,anomaly
142,normal
912,normal
1789,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
1380,normal
0,anomaly
0,anomaly
0,anomaly
870,normal
0,anomaly
1468,normal
1423,normal
0,anomaly
0,anomaly
0,anomaly
9551,normal
864,normal
0,anomaly
10369,normal
0,anomaly
330,normal
6924,normal
0,anomaly
709,normal
851,normal
3360,normal
328,normal
0,anomaly
0,anomaly
1483,normal
0,anomaly
0,normal
134,normal
2719,normal
771,normal
0,anomaly
0,anomaly
9598,normal
651,normal
447,normal
0,anomaly
0,normal
1951,normal
0,anomaly
42,normal
0,anomaly
0,anomaly
453,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
1980,normal
5530,normal
321,normal
1701,normal
0,anomaly
0,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
0,anomaly
420,normal
0,anomaly
0,normal
1229,normal
0,anomaly
0,normal
0,anomaly
573,normal
0,anomaly
0,anomaly
821,normal
0,anomaly
0,anomaly
0,anomaly
146,normal
0,anomaly
327,normal
0,anomaly
0,anomaly
0,anomaly
326,normal
0,anomaly
765,normal
15455,normal
315,normal
0,normal
0,anomaly
0,anomaly
70,normal
584,normal
0,anomaly
2844,normal
334,normal
5670,normal
0,anomaly
0,anomaly
9986,normal
0,anomaly
48,normal
1301,normal
0,anomaly
0,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
0,anomaly
3327,normal
0,anomaly
1249,normal
0,anomaly
3282,normal
0,anomaly
4482,normal
0,anomaly
0,normal
302,normal
3754,normal
0,anomaly
0,normal
6282,normal
0,anomaly
8314,anomaly
1461,normal
0,anomaly
0,anomaly
955,normal
657,normal
5921,normal
0,anomaly
426,normal
0,anomaly
0,normal
7902,normal
0,normal
0,anomaly
43,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
1956,normal
0,anomaly
78,normal
8113,normal
280,normal
17540,normal
0,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
