duration,protocol_type,flag,src_bytes,dst_bytes,logged_in,count,srv_count,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
0,tcp,SF,491,0,0,2,2,1,150,25,0.17,0.03,0.17,0,0.05,0,normal
0,udp,SF,146,0,0,13,1,0.08,255,1,0,0.6,0.88,0,0,0,normal
0,tcp,S0,0,0,0,123,6,0.05,255,26,0.1,0.05,0,0,0,0,anomaly
0,tcp,SF,232,8153,1,5,5,1,30,255,1,0,0.03,0.04,0,0.01,normal
0,tcp,SF,199,420,1,30,32,1,255,255,1,0,0,0,0,0,normal
0,tcp,REJ,0,0,0,121,19,0.16,255,19,0.07,0.07,0,0,1,1,anomaly
0,tcp,S0,0,0,0,166,9,0.05,255,9,0.04,0.05,0,0,0,0,anomaly
0,tcp,S0,0,0,0,117,16,0.14,255,15,0.06,0.07,0,0,0,0,anomaly
0,tcp,S0,0,0,0,270,23,0.09,255,23,0.09,0.05,0,0,0,0,anomaly
0,tcp,S0,0,0,0,133,8,0.06,255,13,0.05,0.06,0,0,0,0,anomaly
0,tcp,REJ,0,0,0,205,12,0.06,255,12,0.05,0.07,0,0,1,1,anomaly
0,tcp,S0,0,0,0,199,3,0.02,255,13,0.05,0.07,0,0,0,0,anomaly
0,tcp,SF,287,2251,1,3,7,1,8,219,1,0,0.12,0.03,0,0,normal
0,tcp,SF,334,0,1,2,2,1,2,20,1,0,1,0.2,0,0,anomaly
0,tcp,S0,0,0,0,233,1,0,255,1,0,0.07,0,0,0,0,anomaly
0,tcp,S0,0,0,0,96,16,0.17,255,2,0.01,0.06,0,0,0,0,anomaly
0,tcp,SF,300,13788,1,8,9,1,91,255,1,0,0.01,0.02,0,0,normal
0,icmp,SF,18,0,0,1,1,1,1,16,1,0,1,1,0,0,anomaly
0,tcp,SF,233,616,1,3,3,1,66,255,1,0,0.02,0.03,0.02,0,normal
0,tcp,SF,343,1178,1,9,10,1,157,255,1,0,0.01,0.04,0,0,normal
0,tcp,S0,0,0,0,223,23,0.1,255,23,0.09,0.05,0,0,0,0,anomaly
0,tcp,S0,0,0,0,280,17,0.06,238,17,0.07,0.06,0,0,0,0,anomaly
