protocol_type,src_bytes,dst_bytes,class
tcp,491,0,normal
udp,146,0,normal
tcp,0,0,anomaly
tcp,232,8153,normal
tcp,199,420,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,287,2251,normal
tcp,334,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,300,13788,normal
icmp,18,0,anomaly
tcp,233,616,normal
tcp,343,1178,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,253,11905,normal
udp,147,105,normal
tcp,0,0,anomaly
tcp,437,14421,normal
tcp,0,0,anomaly
tcp,227,6588,normal
tcp,215,10499,normal
tcp,241,1400,normal
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,303,555,normal
tcp,0,0,anomaly
udp,45,45,normal
udp,105,147,normal
udp,43,43,normal
tcp,0,0,anomaly
tcp,324,2302,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,1591,372,normal
udp,146,105,normal
tcp,290,3006,normal
tcp,0,0,anomaly
udp,28,0,anomaly
tcp,255,861,normal
tcp,334,0,anomaly
tcp,0,0,anomaly
tcp,302,498,normal
tcp,0,0,anomaly
udp,28,0,anomaly
tcp,220,1398,normal
udp,43,69,normal
udp,44,133,normal
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,43,43,normal
tcp,641,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,310,2794,normal
tcp,0,0,anomaly
tcp,696,333,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,221,2878,normal
tcp,0,0,anomaly
icmp,181,0,normal
udp,42,42,normal
tcp,0,0,anomaly
tcp,12,0,normal
tcp,0,0,anomaly
tcp,210,2790,normal
tcp,321,5683,normal
tcp,0,0,anomaly
tcp,329,3982,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
icmp,8,0,anomaly
tcp,320,379,normal
tcp,0,0,anomaly
tcp,225,3762,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,146,105,normal
tcp,247,1416,normal
tcp,353,1483,normal
udp,44,44,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,3065,331,normal
udp,102,102,normal
tcp,259,750,normal
udp,147,105,normal
tcp,0,0,anomaly
tcp,0,354,normal
tcp,309,306,normal
tcp,0,0,normal
tcp,278,7227,normal
udp,28,0,anomaly
tcp,313,761,normal
tcp,219,1212,normal
tcp,245,9165,normal
tcp,328,2243,normal
tcp,0,0,normal
tcp,251,301,normal
tcp,2089,335,normal
tcp,0,0,normal
tcp,237,511,normal
tcp,324,431,normal
tcp,1,0,anomaly
tcp,0,0,anomaly
udp,105,145,normal
tcp,218,974,normal
tcp,325,2649,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,328,275,normal
tcp,0,0,anomaly
tcp,9,138,normal
udp,46,46,normal
tcp,1079,334,normal
udp,45,139,normal
tcp,273,903,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,237,138,normal
tcp,225,1357,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,147,0,normal
tcp,262,1011,normal
icmp,1032,0,anomaly
tcp,0,0,anomaly
tcp,261,8412,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,294,1719,normal
tcp,221,981,normal
tcp,284,10352,normal
tcp,0,0,anomaly
tcp,309,16096,normal
tcp,334,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,214,283,normal
tcp,0,0,anomaly
