protocol_type,src_bytes,dst_bytes,count,class
tcp,491,0,2,normal
udp,146,0,13,normal
tcp,0,0,123,anomaly
tcp,232,8153,5,normal
tcp,199,420,30,normal
tcp,0,0,121,anomaly
tcp,0,0,166,anomaly
tcp,0,0,117,anomaly
tcp,0,0,270,anomaly
tcp,0,0,133,anomaly
tcp,0,0,205,anomaly
tcp,0,0,199,anomaly
tcp,287,2251,3,normal
tcp,334,0,2,anomaly
tcp,0,0,233,anomaly
tcp,0,0,96,anomaly
tcp,300,13788,8,normal
icmp,18,0,1,anomaly
tcp,233,616,3,normal
tcp,343,1178,9,normal
tcp,0,0,223,anomaly
tcp,0,0,280,anomaly
tcp,253,11905,8,normal
udp,147,105,1,normal
tcp,0,0,248,anomaly
tcp,437,14421,1,normal
tcp,0,0,279,anomaly
tcp,227,6588,5,normal
tcp,215,10499,14,normal
tcp,241,1400,33,normal
icmp,8,0,1,anomaly
tcp,0,0,57,anomaly
tcp,303,555,9,normal
tcp,0,0,2,anomaly
udp,45,45,181,normal
udp,105,147,2,normal
udp,43,43,122,normal
tcp,0,0,205,anomaly
tcp,324,2302,22,normal
tcp,0,0,228,anomaly
tcp,0,0,50,anomaly
tcp,0,0,262,anomaly
tcp,1591,372,1,normal
udp,146,105,4,normal
tcp,290,3006,11,normal
tcp,0,0,108,anomaly
udp,28,0,80,anomaly
tcp,255,861,44,normal
tcp,334,0,2,anomaly
tcp,0,0,258,anomaly
tcp,302,498,10,normal
tcp,0,0,61,anomaly
udp,28,0,2,anomaly
tcp,220,1398,26,normal
udp,43,69,120,normal
udp,44,133,73,normal
icmp,8,0,1,anomaly
tcp,0,0,135,anomaly
tcp,0,0,24,anomaly
udp,43,43,148,normal
tcp,641,0,2,normal
tcp,0,0,206,anomaly
tcp,0,0,175,anomaly
tcp,310,2794,4,normal
tcp,0,0,63,anomaly
tcp,696,333,1,normal
tcp,0,0,1,anomaly
tcp,0,0,52,anomaly
tcp,0,0,125,anomaly
tcp,0,0,168,anomaly
tcp,221,2878,1,normal
tcp,0,0,145,anomaly
icmp,181,0,3,normal
udp,42,42,9,normal
tcp,0,0,138,anomaly
tcp,12,0,1,normal
tcp,0,0,276,anomaly
tcp,210,2790,10,normal
tcp,321,5683,10,normal
tcp,0,0,248,anomaly
tcp,329,3982,2,normal
tcp,0,0,135,anomaly
tcp,0,0,220,anomaly
icmp,8,0,1,anomaly
tcp,320,379,9,normal
tcp,0,0,212,anomaly
tcp,225,3762,10,normal
tcp,0,0,250,anomaly
tcp,0,0,132,anomaly
udp,146,105,3,normal
tcp,247,1416,11,normal
tcp,353,1483,3,normal
udp,44,44,109,normal
tcp,0,0,146,anomaly
tcp,0,0,300,anomaly
tcp,3065,331,1,normal
udp,102,102,1,normal
tcp,259,750,4,normal
udp,147,105,2,normal
tcp,0,0,129,anomaly
tcp,0,354,32,normal
tcp,309,306,1,normal
tcp,0,0,1,normal
tcp,278,7227,3,normal
udp,28,0,82,anomaly
tcp,313,761,1,normal
tcp,219,1212,15,normal
tcp,245,9165,2,normal
tcp,328,2243,21,normal
tcp,0,0,1,normal
tcp,251,301,3,normal
tcp,2089,335,2,normal
tcp,0,0,1,normal
tcp,237,511,1,normal
tcp,324,431,4,normal
tcp,1,0,2,anomaly
tcp,0,0,110,anomaly
udp,105,145,4,normal
tcp,218,974,6,normal
tcp,325,2649,7,normal
tcp,0,0,246,anomaly
tcp,0,0,272,anomaly
tcp,0,0,259,anomaly
tcp,328,275,9,normal
tcp,0,0,294,anomaly
tcp,9,138,1,normal
udp,46,46,96,normal
tcp,1079,334,1,normal
udp,45,139,79,normal
tcp,273,903,1,normal
tcp,0,0,190,anomaly
tcp,0,0,135,anomaly
tcp,237,138,2,normal
tcp,225,1357,1,normal
tcp,0,0,123,anomaly
tcp,0,0,245,anomaly
udp,147,0,3,normal
tcp,262,1011,3,normal
icmp,1032,0,263,anomaly
tcp,0,0,109,anomaly
tcp,261,8412,9,normal
tcp,0,0,145,anomaly
tcp,0,0,250,anomaly
tcp,294,1719,8,normal
tcp,221,981,2,normal
tcp,284,10352,2,normal
tcp,0,0,1,anomaly
tcp,309,16096,3,normal
tcp,334,0,2,anomaly
tcp,0,0,13,anomaly
tcp,0,0,87,anomaly
tcp,214,283,2,normal
tcp,0,0,292,anomaly
tcp,0,0,295,anomaly
tcp,0,0,143,anomaly
udp,46,78,278,normal
tcp,748,0,1,normal
tcp,0,0,102,anomaly
icmp,8,0,1,anomaly
tcp,0,0,251,anomaly
tcp,329,8437,4,normal
tcp,9,0,2,normal
udp,46,128,222,normal
tcp,1766,0,2,normal
tcp,0,0,260,anomaly
tcp,1,0,2,anomaly
tcp,8,135,1,normal
tcp,266,529,1,normal
tcp,245,0,3,normal
tcp,295,465,11,normal
tcp,0,0,44,anomaly
tcp,228,6834,2,normal
icmp,1032,0,511,anomaly
tcp,0,0,272,anomaly
tcp,0,0,122,anomaly
tcp,0,0,287,anomaly
tcp,0,0,1,normal
tcp,0,0,486,anomaly
udp,1,0,22,anomaly
tcp,0,0,286,anomaly
icmp,30,0,1,normal
tcp,2078,333,1,normal
tcp,19,0,1,normal
tcp,661,329,1,normal
udp,28,0,35,anomaly
tcp,0,0,28,anomaly
tcp,0,0,108,anomaly
tcp,0,0,101,anomaly
tcp,1075,364,1,normal
tcp,223,656,12,normal
tcp,350,1185,1,anomaly
tcp,233,2470,10,normal
tcp,0,0,223,anomaly
tcp,0,0,223,anomaly
tcp,201,1938,19,normal
tcp,271,4781,4,normal
tcp,14416,0,1,normal
tcp,227,11564,5,normal
tcp,0,0,406,anomaly
tcp,225,2445,4,normal
tcp,176,426,6,normal
tcp,0,0,143,anomaly
tcp,227,762,17,normal
tcp,855,575,1,normal
tcp,944,330,1,normal
tcp,954,326,2,normal
tcp,0,0,201,anomaly
tcp,166,34660,1,normal
tcp,306,2698,4,normal
tcp,0,0,124,anomaly
tcp,0,0,162,anomaly
icmp,1480,0,2,anomaly
tcp,0,0,277,anomaly
tcp,313,8549,4,normal
tcp,0,0,274,anomaly
tcp,0,0,141,anomaly
tcp,285,6008,3,normal
tcp,226,1411,8,normal
tcp,256,12984,1,normal
tcp,3740,449,1,normal
tcp,224,449,10,normal
tcp,0,0,103,anomaly
tcp,832,0,1,anomaly
tcp,0,0,246,anomaly
icmp,8,0,1,anomaly
tcp,201,169,7,normal
tcp,285,304,32,normal
tcp,0,0,125,anomaly
tcp,7422,0,8,normal
tcp,198,12884,2,normal
tcp,2310,328,1,normal
tcp,331,955,6,normal
icmp,65,0,9,normal
udp,28,0,4,anomaly
udp,45,77,171,normal
tcp,0,0,250,anomaly
tcp,0,0,238,anomaly
tcp,0,0,102,anomaly
tcp,9,142,1,normal
tcp,283,912,2,normal
tcp,221,1789,2,normal
icmp,18,0,1,anomaly
tcp,0,0,281,anomaly
tcp,0,0,30,anomaly
tcp,0,0,276,anomaly
tcp,302,1380,5,normal
tcp,0,0,163,anomaly
icmp,8,0,1,anomaly
tcp,0,0,301,anomaly
tcp,355,870,28,normal
icmp,8,0,1,anomaly
tcp,106,1468,1,normal
tcp,286,1423,16,normal
tcp,1,0,2,anomaly
tcp,0,0,1,anomaly
icmp,1032,0,46,anomaly
tcp,168,9551,1,normal
tcp,238,864,39,normal
tcp,0,0,1,anomaly
tcp,291,10369,6,normal
tcp,0,0,211,anomaly
tcp,749,330,1,normal
tcp,198,6924,12,normal
tcp,0,0,280,anomaly
tcp,167,709,1,normal
tcp,241,851,17,normal
tcp,337,3360,6,normal
tcp,729,328,1,normal
icmp,8,0,1,anomaly
tcp,0,0,201,anomaly
tcp,222,1483,3,normal
tcp,0,0,276,anomaly
tcp,0,0,1,normal
udp,46,134,145,normal
tcp,246,2719,1,normal
tcp,222,771,8,normal
tcp,0,0,258,anomaly
tcp,0,0,256,anomaly
tcp,279,9598,1,normal
tcp,226,651,12,normal
tcp,299,447,26,normal
tcp,0,0,14,anomaly
tcp,12,0,2,normal
tcp,281,1951,30,normal
tcp,0,0,138,anomaly
udp,42,42,4,normal
tcp,0,0,300,anomaly
tcp,0,0,199,anomaly
tcp,263,453,15,normal
tcp,1,0,2,anomaly
tcp,0,0,1,normal
tcp,0,0,144,anomaly
tcp,0,0,104,anomaly
tcp,283,1980,18,normal
tcp,161,5530,2,normal
tcp,211,321,7,normal
tcp,201,1701,7,normal
icmp,8,0,1,anomaly
udp,147,0,3,normal
tcp,0,0,74,anomaly
tcp,567,0,1,normal
tcp,0,0,225,anomaly
tcp,0,0,66,anomaly
tcp,5131424,0,1,anomaly
tcp,320,420,7,normal
icmp,8,0,1,anomaly
tcp,0,0,2,normal
tcp,204,1229,4,normal
tcp,0,0,1,anomaly
tcp,10389,0,1,normal
tcp,0,0,139,anomaly
tcp,344,573,28,normal
tcp,0,0,144,anomaly
tcp,0,0,241,anomaly
tcp,243,821,15,normal
icmp,1032,0,213,anomaly
icmp,8,0,1,anomaly
tcp,0,0,36,anomaly
udp,105,146,3,normal
tcp,0,0,254,anomaly
tcp,1080,327,1,normal
tcp,0,0,295,anomaly
tcp,0,0,171,anomaly
tcp,0,0,179,anomaly
tcp,657,326,2,normal
tcp,0,0,101,anomaly
tcp,284,765,9,normal
tcp,261,15455,22,normal
tcp,317,315,1,normal
udp,33,0,8,normal
tcp,0,0,2,anomaly
tcp,0,0,1,anomaly
udp,44,70,195,normal
tcp,215,584,4,normal
tcp,0,0,260,anomaly
tcp,332,2844,14,normal
tcp,978,334,1,normal
tcp,296,5670,10,normal
tcp,0,0,125,anomaly
tcp,0,0,139,anomaly
tcp,214,9986,10,normal
tcp,0,0,251,anomaly
udp,48,48,1,normal
tcp,226,1301,5,normal
tcp,0,0,211,anomaly
icmp,78,0,20,normal
tcp,0,0,208,anomaly
tcp,0,0,1,normal
tcp,0,0,268,anomaly
tcp,0,0,1,anomaly
tcp,0,0,2,anomaly
tcp,294,3327,1,normal
tcp,0,0,286,anomaly
tcp,220,1249,7,normal
tcp,0,0,425,anomaly
tcp,196,3282,8,normal
tcp,0,0,272,anomaly
tcp,327,4482,4,normal
tcp,0,0,241,anomaly
tcp,319,0,2,normal
tcp,1087,302,1,normal
tcp,210,3754,18,normal
tcp,0,0,125,anomaly
tcp,0,0,1,normal
tcp,234,6282,6,normal
icmp,8,0,1,anomaly
tcp,54540,8314,1,anomaly
tcp,237,1461,3,normal
tcp,0,0,42,anomaly
tcp,0,0,274,anomaly
tcp,200,955,3,normal
tcp,219,657,7,normal
tcp,284,5921,1,normal
tcp,0,0,196,anomaly
tcp,325,426,5,normal
tcp,0,0,111,anomaly
icmp,30,0,1,normal
tcp,335,7902,1,normal
udp,36,0,2,normal
tcp,0,0,168,anomaly
udp,43,43,122,normal
tcp,0,0,108,anomaly
tcp,0,0,1,normal
tcp,0,0,36,anomaly
tcp,0,0,143,anomaly
tcp,216,1956,1,normal
tcp,0,0,132,anomaly
udp,44,78,139,normal
tcp,347,8113,7,normal
tcp,570,280,1,normal
tcp,219,17540,8,normal
udp,146,0,3,normal
tcp,0,0,222,anomaly
tcp,0,0,260,anomaly
tcp,0,0,237,anomaly
tcp,0,0,132,anomaly
tcp,1,0,2,anomaly
tcp,0,0,57,anomaly
icmp,18,0,1,anomaly
tcp,0,4,1,normal
tcp,233,581,13,normal
tcp,0,0,257,anomaly
tcp,276,0,1,normal
udp,44,139,77,normal
icmp,8,0,1,anomaly
tcp,1828,148722,1,normal
tcp,200,764,2,normal
udp,46,46,11,normal
tcp,0,0,257,anomaly
tcp,0,0,13,anomaly
tcp,216,5284,9,normal
tcp,0,0,137,anomaly
tcp,234,997,28,normal
tcp,220,1643,12,normal
tcp,0,0,132,anomaly
udp,105,146,7,normal
tcp,0,0,1,normal
tcp,0,0,290,anomaly
tcp,0,0,203,anomaly
tcp,0,0,290,anomaly
tcp,288,2881,14,normal
tcp,0,0,116,anomaly
tcp,0,0,260,anomaly
udp,1,0,12,anomaly
udp,28,0,21,anomaly
tcp,279,494,2,normal
icmp,1032,0,486,anomaly
tcp,192,0,2,normal
tcp,105,1401,1,normal
tcp,0,0,1,anomaly
tcp,1330,282,1,normal
icmp,520,0,457,anomaly
tcp,0,0,47,anomaly
tcp,230,362,10,normal
udp,44,110,71,normal
tcp,271,3582,12,normal
tcp,179,1668,6,normal
tcp,852,0,6,normal
tcp,222,310,5,normal
tcp,314,4137,7,normal
tcp,0,0,139,anomaly
tcp,230,6880,1,normal
tcp,0,0,200,anomaly
tcp,0,0,140,anomaly
tcp,857,327,1,normal
tcp,234,1707,9,normal
icmp,1032,0,511,anomaly
udp,28,0,68,anomaly
tcp,0,0,132,anomaly
tcp,215,6367,9,normal
udp,46,46,215,normal
udp,105,146,1,normal
tcp,0,0,115,anomaly
tcp,0,0,35,anomaly
tcp,0,0,275,anomaly
tcp,305,2507,4,normal
tcp,0,0,76,anomaly
