duration,protocol_type,src_bytes,dst_bytes,count,srv_count,class
0,tcp,491,0,2,2,normal
0,udp,146,0,13,1,normal
0,tcp,0,0,123,6,anomaly
0,tcp,232,8153,5,5,normal
0,tcp,199,420,30,32,normal
0,tcp,0,0,121,19,anomaly
0,tcp,0,0,166,9,anomaly
0,tcp,0,0,117,16,anomaly
0,tcp,0,0,270,23,anomaly
0,tcp,0,0,133,8,anomaly
0,tcp,0,0,205,12,anomaly
0,tcp,0,0,199,3,anomaly
0,tcp,287,2251,3,7,normal
0,tcp,334,0,2,2,anomaly
0,tcp,0,0,233,1,anomaly
0,tcp,0,0,96,16,anomaly
0,tcp,300,13788,8,9,normal
0,icmp,18,0,1,1,anomaly
0,tcp,233,616,3,3,normal
0,tcp,343,1178,9,10,normal
0,tcp,0,0,223,23,anomaly
0,tcp,0,0,280,17,anomaly
0,tcp,253,11905,8,10,normal
5607,udp,147,105,1,1,normal
0,tcp,0,0,248,2,anomaly
507,tcp,437,14421,1,1,normal
0,tcp,0,0,279,7,anomaly
0,tcp,227,6588,5,22,normal
0,tcp,215,10499,14,14,normal
0,tcp,241,1400,33,33,normal
0,icmp,8,0,1,12,anomaly
0,tcp,0,0,57,16,anomaly
0,tcp,303,555,9,9,normal
0,tcp,0,0,2,1,anomaly
0,udp,45,45,181,181,normal
1,udp,105,147,2,2,normal
0,udp,43,43,122,202,normal
0,tcp,0,0,205,17,anomaly
0,tcp,324,2302,22,28,normal
0,tcp,0,0,228,13,anomaly
0,tcp,0,0,50,11,anomaly
0,tcp,0,0,262,12,anomaly
2,tcp,1591,372,1,2,normal
9052,udp,146,105,4,2,normal
0,tcp,290,3006,11,11,normal
0,tcp,0,0,108,11,anomaly
0,udp,28,0,80,80,anomaly
0,tcp,255,861,44,44,normal
0,tcp,334,0,2,2,anomaly
0,tcp,0,0,258,17,anomaly
0,tcp,302,498,10,10,normal
0,tcp,0,0,61,4,anomaly
0,udp,28,0,2,2,anomaly
0,tcp,220,1398,26,42,normal
0,udp,43,69,120,120,normal
0,udp,44,133,73,75,normal
0,icmp,8,0,1,15,anomaly
0,tcp,0,0,135,9,anomaly
0,tcp,0,0,24,12,anomaly
0,udp,43,43,148,228,normal
0,tcp,641,0,2,2,normal
0,tcp,0,0,206,4,anomaly
0,tcp,0,0,175,1,anomaly
0,tcp,310,2794,4,4,normal
0,tcp,0,0,63,10,anomaly
0,tcp,696,333,1,1,normal
0,tcp,0,0,1,1,anomaly
0,tcp,0,0,52,19,anomaly
0,tcp,0,0,125,7,anomaly
0,tcp,0,0,168,21,anomaly
0,tcp,221,2878,1,1,normal
0,tcp,0,0,145,16,anomaly
0,icmp,181,0,3,2,normal
0,udp,42,42,9,14,normal
0,tcp,0,0,138,6,anomaly
0,tcp,12,0,1,1,normal
0,tcp,0,0,276,9,anomaly
0,tcp,210,2790,10,27,normal
0,tcp,321,5683,10,10,normal
0,tcp,0,0,248,8,anomaly
0,tcp,329,3982,2,31,normal
0,tcp,0,0,135,7,anomaly
0,tcp,0,0,220,19,anomaly
0,icmp,8,0,1,44,anomaly
0,tcp,320,379,9,9,normal
0,tcp,0,0,212,7,anomaly
0,tcp,225,3762,10,10,normal
0,tcp,0,0,250,13,anomaly
0,tcp,0,0,132,15,anomaly
315,udp,146,105,3,2,normal
0,tcp,247,1416,11,11,normal
0,tcp,353,1483,3,9,normal
0,udp,44,44,109,189,normal
0,tcp,0,0,146,18,anomaly
0,tcp,0,0,300,6,anomaly
2,tcp,3065,331,1,2,normal
0,udp,102,102,1,1,normal
0,tcp,259,750,4,5,normal
1082,udp,147,105,2,2,normal
0,tcp,0,0,129,16,anomaly
0,tcp,0,354,32,32,normal
0,tcp,309,306,1,1,normal
0,tcp,0,0,1,2,normal
0,tcp,278,7227,3,3,normal
0,udp,28,0,82,82,anomaly
0,tcp,313,761,1,1,normal
0,tcp,219,1212,15,15,normal
0,tcp,245,9165,2,3,normal
0,tcp,328,2243,21,21,normal
0,tcp,0,0,1,1,normal
0,tcp,251,301,3,7,normal
0,tcp,2089,335,2,2,normal
0,tcp,0,0,1,1,normal
0,tcp,237,511,1,1,normal
0,tcp,324,431,4,5,normal
25950,tcp,1,0,2,2,anomaly
0,tcp,0,0,110,17,anomaly
0,udp,105,145,4,1,normal
0,tcp,218,974,6,6,normal
0,tcp,325,2649,7,7,normal
0,tcp,0,0,246,20,anomaly
0,tcp,0,0,272,19,anomaly
0,tcp,0,0,259,8,anomaly
240,tcp,328,275,9,10,normal
0,tcp,0,0,294,6,anomaly
0,tcp,9,138,1,1,normal
0,udp,46,46,96,178,normal
1,tcp,1079,334,1,1,normal
0,udp,45,139,79,159,normal
26,tcp,273,903,1,1,normal
